"","id","dob","year","date","cmj_height","cmj_rsi","ct","epv","rel_pp","con_imp","age_at_test","group","height","sit_height","time_point","mass","rel_peak","peak_v_f","mean_rsi_fc_time","mean_rsi_ms"
"154","RTC23",2008-08-01,"24_25",2024-02-21,23.3,0.26,890,-0.8,39.1,132.5,15.56,"u16s",170,91,"Feb 2024",62.4,26.15,1632,2.32,1.19
"155","RTC25",2007-10-05,"24_25",2024-04-05,25.8,0.39,665,-1.47,43.3,148.5,16.5,"u16s",174.6,93.8,"April 2024",65.6,33.64,2207,2.85,1.79
"156","RTC29",2008-07-10,"24_25",2024-02-14,26,0.44,595,-1.18,45.9,151.9,15.6,"u16s",172,91,"Feb 2024",66.4,29.46,1956,2.68,1.4
"157","RTC31",2008-05-30,"24_25",2024-04-09,20,0.26,768,-1.29,33.8,128.2,15.86,"u16s",168.6,87.1,"April 2024",64.6,38.58,2492,2.26,1.18
"158","RTC32",2008-05-30,"24_25",2024-04-09,20.8,0.29,723,-1.14,35.6,127.3,15.86,"u16s",167.8,87.1,"April 2024",63.1,45.32,2859,1.99,0.93
"159","RTC41",2008-12-31,"24_25",2024-04-05,23.1,0.34,679,-1.42,38.4,146,15.26,"u16s",169.5,91.4,"April 2024",68.2,26.69,1821,2.2,1.16
"160","RTC41",2008-12-31,"24_25",2024-02-14,23.3,0.34,693,-1.43,37.3,142.4,15.12,"u16s",169,92,"Feb 2024",66.3,28.81,1910,2.5,1.31
"161","RTC46",2009-03-27,"24_25",2024-08-29,29,0.48,745,-1.18,47.7,131.9,15.42,"u16s",159.5,87.1,"August 2024",55.8,24.59,1372,2.45,1.39
"162","RTC46",2009-03-27,"24_25",2024-04-05,25.4,0.39,652,-1.17,42.5,123.6,15.02,"u16s",159.5,86.3,"April 2024",55.2,23.63,1305,2.31,1.21
"163","RTC48",2008-12-13,"24_25",2025-04-16,20.7,0.2,1020,-0.82,36.2,155.9,16.34,"u16s",182.6,96.2,"April 2025",77.8,32.59,2536,2.48,1.28
"164","RTC48",2008-12-13,"24_25",2024-08-29,20.3,0.28,822,-0.97,36.9,161.1,15.71,"u16s",182.1,97.3,"August 2024",80.2,26.47,2123,2.2,1.07
"165","RTC48",2008-12-13,"24_25",2024-04-05,20.7,0.27,763,-0.96,37.7,154.7,15.31,"u16s",181.9,96,"April 2024",76.4,29.16,2228,2.17,1.09
"166","RTC48",2008-12-13,"24_25",2024-02-21,21.2,0.3,712,-1,37.8,157.3,15.19,"u16s",182,96,"Feb 2024",77.2,28.07,2167,2.21,1.04
"167","RTC48",2008-12-13,"24_25",2024-02-21,21.2,0.3,712,-1,37.8,157.3,15.19,"u16s",182,96,"Feb 2024",76.9,22.85,1757,2.21,1.04
"168","RTC50",2009-01-07,"24_25",2024-08-29,29.1,0.48,644,-1.13,48.3,128.4,15.64,"u16s",167.5,87.7,"August 2024",53.5,29.17,1560,2.67,1.38
"169","RTC50",2009-01-07,"24_25",2024-08-29,29.1,0.48,644,-1.13,48.3,128.4,15.64,"u16s",167.5,87.7,"August 2024",58.9,25.96,1529,2.67,1.38
"170","RTC50",2009-01-07,"24_25",2024-04-04,24.2,0.35,689,-0.87,44.6,116.8,15.24,"u16s",166.5,87,"April 2024",53.3,30.59,1631,2.42,1.22
"171","RTC54",2008-10-28,"24_25",2024-08-28,23.5,0.42,600,-1.26,40.4,117.1,15.83,"u16s",157.1,87.3,"August 2024",52.5,29.84,1567,2.82,1.5
"172","RTC54",2008-10-28,"24_25",2024-04-09,22.9,0.39,595,-1.27,39.1,121.3,15.45,"u16s",NA,NA,"April 2024",56.6,27.71,1569,2.68,1.47
"173","RTC54",2008-10-28,"24_25",2024-02-21,21.7,0.36,606,-1.19,38.2,117.7,15.32,"u16s",156,86,"Feb 2024",57.3,23.27,1334,2.67,1.45
"174","RTC55",2009-04-09,"24_25",2024-08-29,24.7,0.38,694,-1.15,44.1,109.4,15.39,"u16s",162.9,91.6,"August 2024",56.3,23.89,1345,2.5,1.26
"175","RTC55",2009-04-09,"24_25",2024-04-09,23.4,0.35,671,-1.01,41.4,104.4,15,"u16s",162.3,91.2,"April 2024",48.5,29.63,1437,2.33,1.07
"176","RTC55",2009-04-09,"24_25",2024-02-21,23.5,0.31,758,-1.11,39.9,105.4,14.87,"u16s",162,90,"Feb 2024",49.4,14.23,703,2.15,0.94
"177","RTC58",2009-01-09,"24_25",2024-08-29,23.7,0.33,748,-1.08,37.9,98.3,15.64,"u16s",166.9,86.3,"August 2024",38.4,35.43,1360,2.54,1.23
"178","RTC58",2009-01-09,"24_25",2024-04-04,21.3,0.26,839,-1.14,35.9,92.5,15.23,"u16s",165.5,85.6,"April 2024",45.1,32.31,1457,2.52,1.17
"179","RTC58",2009-01-09,"24_25",2024-02-21,20.7,0.3,701,-1.02,35.7,88.8,15.12,"u16s",164,85,"Feb 2024",43.7,30.97,1353,2.26,0.99
"180","RTC62",2008-02-04,"24_25",2024-02-14,21.4,0.44,487,-0.92,42.9,118.4,16.03,"u16s",154,80,"Feb 2024",57.1,23.07,1317,2.22,1.08
"181","RTC63",2008-07-15,"24_25",2024-02-21,23.9,0.31,782,-0.72,41,134.4,15.6,"u16s",170,93,"Feb 2024",61.8,24.76,1530,2.29,1.1
"182","RTC65",2010-10-30,"24_25",2025-04-15,22.9,0.37,617,-1.3,37.3,135.1,14.46,"u14s",166,NA,"April 2025",68.7,29.77,2046,2.57,1.33
"183","RTC68",2011-03-31,"24_25",2024-04-05,20.5,0.32,655,-1.02,37.2,104.2,13.01,"u13s",166.1,90.5,"April 2024",51.6,29.59,1527,2.25,1.07
"184","RTC68",2011-03-31,"24_25",2024-02-16,19.3,0.27,729,-0.97,35.1,99.1,12.88,"u13s",163,88,"Feb 2024",50.3,29.44,1481,2.06,0.91
"185","RTC72",2011-01-15,"24_25",2024-04-04,21.1,0.34,622,-1.03,39.5,100.7,13.22,"u13s",155,81.9,"April 2024",48.9,28.77,1407,2.15,1.07
"186","RTC72",2011-01-15,"24_25",2024-02-16,20.8,0.39,532,-0.92,39.7,94.9,13.09,"u13s",153,80,"Feb 2024",47.4,26.48,1255,2.22,1.06
"187","RTC75",2010-09-10,"24_25",2024-04-04,19.9,0.38,523,-0.92,39.2,109.8,13.57,"u13s",162,86.8,"April 2024",55.6,28.14,1564,2.19,1.07
"188","RTC75",2010-09-10,"24_25",2024-02-16,17,0.33,516,-0.77,37,100,13.43,"u13s",160,86,"Feb 2024",54.5,25.69,1400,2.2,1.06
"189","RTC80",2011-07-13,"24_25",2024-08-28,18.7,0.29,684,-0.84,37.7,127.6,13.13,"u14s",162.6,86.5,"August 2024",58.4,25.63,1497,2.1,1.04
"190","RTC80",2011-07-13,"24_25",2024-04-04,19.5,0.33,583,-0.81,40,126.8,12.73,"u14s",162.5,85,"April 2024",64.5,24.72,1595,1.73,0.75
"191","RTC82",2010-10-12,"24_25",2024-08-29,28.7,0.47,626,-1.08,47.7,111.1,13.88,"u14s",160.6,84.2,"August 2024",45.5,28.42,1293,3.15,1.94
"192","RTC82",2010-10-12,"24_25",2024-02-16,30.8,0.4,779,-1.03,46.9,106.3,13.35,"u14s",156,81,"Feb 2024",42.7,32.97,1408,2.68,1.45
"193","RTC83",2011-03-08,"24_25",2024-04-04,18.9,0.37,514,-0.94,38.5,94.6,13.07,"u14s",166.1,87,"April 2024",38.9,39.17,1524,2.08,0.94
"194","RTC83",2011-03-08,"24_25",2024-02-16,21.8,0.36,657,-0.85,38.1,97.8,12.94,"u14s",162,84,"Feb 2024",47.2,28.68,1354,1.87,0.95
"195","RTC84",2011-03-08,"24_25",2024-04-04,22.1,0.4,577,-0.95,41.9,106.2,13.07,"u14s",169.6,88.8,"April 2024",50,27.43,1371,2.41,1.31
"196","RTC84",2011-03-08,"24_25",2024-02-16,19.7,0.26,800,-0.57,34.9,97.4,12.94,"u14s",168,86,"Feb 2024",48.8,29.24,1427,1.97,0.9
"197","RTC87",2010-09-27,"24_25",2024-04-05,26.3,0.38,685,-0.92,43.3,110.2,13.52,"u13s",166.2,86,"April 2024",48,33.76,1620,3.04,1.71
"198","RTC87",2010-09-27,"24_25",2024-02-23,23.9,0.35,682,-0.7,42.4,101.6,13.41,"u13s",160,86,"Feb 2024",46.8,30.99,1450,3.08,1.53
"199","RTC89",2010-02-24,"24_25",2024-08-29,21,0.34,626,-0.78,39,95.7,14.51,"u16s",158.65,85.2,"August 2024",50.2,22.32,1120,2.51,1.32
"200","RTC89",2010-02-24,"24_25",2024-02-16,21.6,0.32,711,-0.66,40.6,97.5,13.98,"u16s",159,84,"Feb 2024",46.7,21.59,1008,2.13,1.06
"201","RTC92",2009-09-29,"24_25",2025-04-16,20.1,0.28,728,-0.82,35.8,110.1,15.55,"u16s",170.1,93.5,"April 2025",56.2,34.52,1940,2.47,1.19
"202","RTC92",2009-09-29,"24_25",2024-08-29,19,0.29,717,-0.95,34.6,100.5,14.92,"u16s",168.2,91.3,"August 2024",45,29.47,1326,2.48,1.24
"203","RTC92",2009-09-29,"24_25",2024-04-04,17.8,0.33,537,-0.87,36,97,14.51,"u16s",167.2,91.3,"April 2024",51.5,32.86,1692,2.2,1.11
"204","RTC94",2008-06-17,"24_25",2024-08-29,29.1,0.34,845,-1.13,42.8,124.7,16.2,"u16s",165,84,"August 2024",51.6,23.34,1204,2.4,1.3
"205","RTC94",2008-06-17,"24_25",2024-04-09,25.4,0.35,736,-1.01,40.7,106.7,15.81,"u16s",156.8,85.2,"April 2024",47.4,29.94,1419,2.39,1.13
